Flight Number,Departure Airport,Arrival Airport,Departure Time,Arrival Time,Delay Minutes,Weather Condition,Delay Reason,Airline
AM558,LHR,ATL,2025-01-15 10:00:00,2025-01-15 19:00:00,102,Storm,Technical Issue,American Airlines
AI485,CDG,DFW,2025-01-24 02:00:00,2025-01-24 09:00:00,23,Clear,Security,Air France
LU799,DFW,JFK,2025-03-17 21:00:00,2025-03-18 07:00:00,26,Clear,Weather,Lufthansa
UN487,ORD,CDG,2025-03-05 02:00:00,2025-03-05 08:00:00,20,Storm,Technical Issue,United
LU608,DXB,LAX,2025-01-09 20:00:00,2025-01-09 23:00:00,110,Fog,Air Traffic,Lufthansa
AI665,CDG,ORD,2025-03-19 16:00:00,2025-03-19 21:00:00,3,Clear,Weather,Air France
AI962,SIN,ATL,2025-02-23 17:00:00,2025-02-24 04:00:00,9,Clear,Security,Air France
UN316,CDG,LHR,2025-03-03 07:00:00,2025-03-03 13:00:00,17,Clear,Technical Issue,United
AM598,DXB,JFK,2025-03-30 06:00:00,2025-03-30 16:00:00,135,Snow,Weather,American Airlines
DE939,JFK,DXB,2025-02-04 02:00:00,2025-02-04 04:00:00,40,Storm,Crew Issues,Delta
AI646,LAX,JFK,2025-02-17 22:00:00,2025-02-18 06:00:00,36,Fog,Air Traffic,Air France
DE306,JFK,ATL,2025-02-16 13:00:00,2025-02-16 17:00:00,141,Snow,Technical Issue,Delta
EM754,SIN,ORD,2025-03-04 06:00:00,2025-03-04 08:00:00,3,Clear,Crew Issues,Emirates
DE745,ATL,CDG,2025-02-28 18:00:00,2025-03-01 01:00:00,169,Heavy Rain,Security,Delta
LU844,ATL,CDG,2025-03-30 06:00:00,2025-03-30 08:00:00,26,Clear,Technical Issue,Lufthansa
AM333,ORD,CDG,2025-03-11 07:00:00,2025-03-11 17:00:00,0,Clear,No Delay,American Airlines
LU367,CDG,AMS,2025-02-01 23:00:00,2025-02-02 09:00:00,29,Clear,Crew Issues,Lufthansa
UN741,LHR,LAX,2025-01-03 16:00:00,2025-01-03 22:00:00,16,Clear,Weather,United
LU538,AMS,CDG,2025-01-01 18:00:00,2025-01-01 21:00:00,159,Storm,Technical Issue,Lufthansa
DE300,CDG,JFK,2025-02-07 23:00:00,2025-02-08 05:00:00,138,Storm,Security,Delta
LU588,AMS,ORD,2025-01-20 03:00:00,2025-01-20 07:00:00,146,Fog,Weather,Lufthansa
UN250,JFK,DXB,2025-02-08 17:00:00,2025-02-09 02:00:00,27,Clear,Air Traffic,United
DE403,SIN,ORD,2025-01-07 15:00:00,2025-01-08 02:00:00,59,Heavy Rain,Weather,Delta
AM503,DFW,AMS,2025-02-01 22:00:00,2025-02-02 08:00:00,18,Clear,Air Traffic,American Airlines
LU353,CDG,AMS,2025-02-02 23:00:00,2025-02-03 04:00:00,7,Clear,Air Traffic,Lufthansa
DE260,ORD,SIN,2025-01-25 17:00:00,2025-01-25 20:00:00,2,Clear,Air Traffic,Delta
DE739,ATL,JFK,2025-01-14 20:00:00,2025-01-15 01:00:00,7,Clear,Security,Delta
AM537,JFK,ATL,2025-03-27 22:00:00,2025-03-28 05:00:00,5,Clear,Crew Issues,American Airlines
LU646,CDG,LAX,2025-01-21 00:00:00,2025-01-21 02:00:00,28,Clear,Technical Issue,Lufthansa
EM596,JFK,LAX,2025-02-13 13:00:00,2025-02-13 19:00:00,123,Heavy Rain,Weather,Emirates
DE355,DFW,ORD,2025-03-01 00:00:00,2025-03-01 05:00:00,20,Clear,Weather,Delta
UN387,ORD,LAX,2025-01-25 09:00:00,2025-01-25 16:00:00,103,Fog,Weather,United
AM345,AMS,CDG,2025-03-07 09:00:00,2025-03-07 12:00:00,7,Clear,Air Traffic,American Airlines
DE135,LHR,CDG,2025-01-26 02:00:00,2025-01-26 05:00:00,12,Heavy Rain,Weather,Delta
AI150,ATL,JFK,2025-01-08 13:00:00,2025-01-08 17:00:00,27,Clear,Technical Issue,Air France
AM543,DXB,AMS,2025-02-27 21:00:00,2025-02-27 23:00:00,5,Clear,Weather,American Airlines
LU449,DFW,JFK,2025-01-08 20:00:00,2025-01-09 02:00:00,5,Clear,Weather,Lufthansa
AM703,ORD,CDG,2025-02-09 19:00:00,2025-02-09 22:00:00,157,Storm,Weather,American Airlines
LU740,SIN,LHR,2025-03-31 04:00:00,2025-03-31 15:00:00,22,Heavy Rain,Technical Issue,Lufthansa
EM803,SIN,JFK,2025-02-03 21:00:00,2025-02-04 07:00:00,116,Fog,Air Traffic,Emirates
EM319,DFW,LHR,2025-03-08 11:00:00,2025-03-08 22:00:00,4,Clear,Weather,Emirates
EM650,DFW,JFK,2025-03-03 19:00:00,2025-03-04 01:00:00,25,Clear,Air Traffic,Emirates
UN861,ATL,JFK,2025-01-23 09:00:00,2025-01-23 16:00:00,33,Storm,Weather,United
DE995,ORD,JFK,2025-03-10 12:00:00,2025-03-10 17:00:00,79,Storm,Air Traffic,Delta
AM712,ATL,DXB,2025-01-12 17:00:00,2025-01-12 21:00:00,160,Storm,Security,American Airlines
AI997,ORD,JFK,2025-02-02 07:00:00,2025-02-02 18:00:00,28,Clear,Weather,Air France
UN517,ORD,LAX,2025-02-04 22:00:00,2025-02-05 00:00:00,92,Fog,Security,United
LU828,ORD,SIN,2025-01-07 03:00:00,2025-01-07 14:00:00,74,Fog,Security,Lufthansa
