flight_number,airline,departure_airport,destination,departure_time,status,delay_minutes,delay_reason,weather_condition
FL8960,Lufthansa,SIN,ORD,2025-04-01 06:44:00,On Time,0,N/A,Storm
FL5939,United,SFO,ATL,2025-04-01 01:07:00,On Time,0,N/A,Clear
FL8254,United,YYZ,DXB,2025-04-01 14:28:00,On Time,0,N/A,Storm
FL8526,Singapore Airlines,HND,ATL,2025-04-01 05:51:00,On Time,0,N/A,Rain
FL7317,United,SFO,LAX,2025-04-01 21:03:00,Delayed,118,Security Issue,Storm
FL1722,United,SFO,LHR,2025-04-01 18:28:00,On Time,0,N/A,Rain
FL6741,Singapore Airlines,SYD,ICN,2025-04-01 14:00:00,On Time,0,N/A,Clear
FL4942,British Airways,LHR,AMS,2025-04-01 10:33:00,On Time,0,N/A,Snow
FL9947,American Airlines,JFK,AMS,2025-04-01 17:38:00,On Time,0,N/A,Clear
FL1377,American Airlines,ATL,YYZ,2025-04-01 10:58:00,On Time,0,N/A,Rain
FL7331,United,DXB,SIN,2025-04-01 02:00:00,On Time,0,N/A,Windy
FL2754,Turkish Airlines,JFK,SFO,2025-04-01 00:31:00,Delayed,67,Late Arrival of Aircraft,Snow
FL9927,Emirates,FRA,PEK,2025-04-01 23:06:00,Delayed,178,Weather,Snow
FL5502,Qatar Airways,FRA,DXB,2025-04-01 17:10:00,On Time,0,N/A,Rain
FL2595,Singapore Airlines,AMS,ORD,2025-04-01 01:55:00,On Time,0,N/A,Storm
FL3486,Turkish Airlines,FRA,LHR,2025-04-01 09:24:00,On Time,0,N/A,Storm
FL5634,Turkish Airlines,AMS,SIN,2025-04-01 11:57:00,On Time,0,N/A,Rain
FL2679,Qatar Airways,JFK,SYD,2025-04-01 19:22:00,Delayed,80,Technical Issue,Storm
FL3677,Qatar Airways,ORD,DXB,2025-04-01 09:21:00,Delayed,26,Weather,Rain
FL5315,British Airways,LAX,SIN,2025-04-01 16:16:00,On Time,0,N/A,Fog
FL6149,Delta,JFK,ICN,2025-04-01 09:07:00,On Time,0,N/A,Fog
FL3403,Emirates,SYD,DXB,2025-04-01 17:52:00,Delayed,74,Security Issue,Snow
FL5069,Air France,LHR,SFO,2025-04-01 16:40:00,On Time,0,N/A,Fog
FL2938,Air France,LHR,JFK,2025-04-01 22:00:00,On Time,0,N/A,Storm
FL6192,Singapore Airlines,HND,YYZ,2025-04-01 00:39:00,On Time,0,N/A,Snow
FL6078,Singapore Airlines,ICN,YYZ,2025-04-01 12:21:00,Canceled,0,N/A,Windy
FL5720,British Airways,CDG,ICN,2025-04-01 09:45:00,On Time,0,N/A,Windy
FL5444,Delta,ORD,ICN,2025-04-01 22:16:00,On Time,0,N/A,Snow
FL1388,Qatar Airways,SFO,ORD,2025-04-01 17:27:00,On Time,0,N/A,Snow
FL7643,Lufthansa,SFO,PEK,2025-04-01 06:20:00,Delayed,104,Weather,Storm
FL6477,Qatar Airways,FRA,PEK,2025-04-01 02:53:00,On Time,0,N/A,Storm
FL2330,Delta,DXB,LAX,2025-04-01 01:27:00,On Time,0,N/A,Snow
FL4014,Delta,FRA,HND,2025-04-01 12:42:00,Delayed,264,Security Issue,Fog
FL5622,United,CDG,FRA,2025-04-01 22:14:00,On Time,0,N/A,Snow
FL4927,United,CDG,SIN,2025-04-01 23:20:00,On Time,0,N/A,Storm
FL7753,American Airlines,SIN,ORD,2025-04-01 04:48:00,On Time,0,N/A,Snow
FL1870,United,SFO,PEK,2025-04-01 12:15:00,Delayed,189,Weather,Storm
FL1587,United,LAX,LHR,2025-04-01 22:52:00,On Time,0,N/A,Windy
FL5522,Lufthansa,AMS,SFO,2025-04-01 14:46:00,Delayed,201,Security Issue,Fog
FL7747,Delta,FRA,LHR,2025-04-01 14:17:00,On Time,0,N/A,Fog
FL6272,Air France,LHR,SIN,2025-04-01 02:02:00,On Time,0,N/A,Windy
FL4677,American Airlines,LAX,PEK,2025-04-01 05:53:00,On Time,0,N/A,Fog
FL4332,Delta,FRA,ICN,2025-04-01 20:08:00,On Time,0,N/A,Clear
FL7827,Air France,LAX,SFO,2025-04-01 21:17:00,Delayed,101,Late Arrival of Aircraft,Snow
FL6766,Emirates,AMS,SYD,2025-04-01 00:19:00,Delayed,298,Weather,Fog
FL1567,Singapore Airlines,SYD,YYZ,2025-04-01 03:40:00,On Time,0,N/A,Windy
FL5539,Lufthansa,AMS,JFK,2025-04-01 04:43:00,Delayed,172,Late Arrival of Aircraft,Fog
FL3522,Lufthansa,YYZ,PEK,2025-04-01 19:24:00,On Time,0,N/A,Clear
FL1686,American Airlines,PEK,SYD,2025-04-01 12:57:00,Delayed,74,Air Traffic Congestion,Fog
FL7107,Qatar Airways,DXB,JFK,2025-04-01 19:26:00,Delayed,46,Technical Issue,Clear
FL1756,Emirates,AMS,ORD,2025-04-01 02:44:00,On Time,0,N/A,Snow
